Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
DATAPATTNS,10,759.04,736.4,7364,-226.4,-2.98,2.17
HATHWAY,110,21.87,21.25,2337.5,-68.5,-2.85,1.43
INFY,30,1712.68,1722.15,51664.5,284,0.55,-0.84
IOC,10,113.95,121.45,1214.5,75,6.58,0.91
JPPOWER,400,7.4,9.05,3620,660,22.3,2.84
KPITTECH,50,629.2,648.6,32430,970,3.08,2.81
LALPATHLAB,20,2895.42,2970.55,59411,1502.55,2.59,3.54
LAURUSLABS,60,484.75,475,28500,-585,-2.01,1.16
NAUKRI,15,4515.55,4522.9,67843.5,110.25,0.16,0.44
RELIANCE,34,2336.31,2373.7,80705.8,1271.2,1.6,-0.16
SONACOMS,74,670.97,627.25,46416.5,-3235.4,-6.52,-3.67
TITAN,9,2379.55,2379.4,21414.6,-1.35,-0.01,-0.98
TORNTPOWER,10,563.5,539.8,5398,-237,-4.21,0.54
TRIDENT,200,53.2,62.35,12470,1830,17.2,2.13
UNIONBANK,100,44.7,42.65,4265,-205,-4.59,1.31
